locus_tag	ftype	length_bp	gene	EC_number	COG	product
JGCGDLPH_00001	CDS	576				hypothetical protein
JGCGDLPH_00002	CDS	1020	nagZ_1	3.2.1.52	COG1472	Beta-hexosaminidase
JGCGDLPH_00003	CDS	1476				hypothetical protein
JGCGDLPH_00004	CDS	1248				hypothetical protein
JGCGDLPH_00005	CDS	480				hypothetical protein
JGCGDLPH_00006	CDS	1041	trpS2	6.1.1.2	COG0180	Tryptophan--tRNA ligase 2
JGCGDLPH_00007	CDS	1089	tqsA		COG0628	AI-2 transport protein TqsA
JGCGDLPH_00008	CDS	858				hypothetical protein
JGCGDLPH_00009	CDS	771	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
JGCGDLPH_00010	CDS	1005				hypothetical protein
JGCGDLPH_00011	CDS	375	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
JGCGDLPH_00012	CDS	840				hypothetical protein
JGCGDLPH_00013	CDS	696	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
JGCGDLPH_00014	CDS	600				hypothetical protein
JGCGDLPH_00015	CDS	861	priA_1	3.6.4.-		primosomal protein N'
JGCGDLPH_00016	CDS	1116	priA_2	3.6.4.-	COG1198	Primosomal protein N'
JGCGDLPH_00017	CDS	624	udk	2.7.1.48	COG0572	Uridine kinase
JGCGDLPH_00018	CDS	303				hypothetical protein
JGCGDLPH_00019	CDS	975				hypothetical protein
JGCGDLPH_00020	CDS	981				hypothetical protein
JGCGDLPH_00021	CDS	510				hypothetical protein
JGCGDLPH_00022	CDS	1668	pfp	2.7.1.90		Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
JGCGDLPH_00023	CDS	1041	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
JGCGDLPH_00024	CDS	1044	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
JGCGDLPH_00025	CDS	591	ruvA	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvA
JGCGDLPH_00026	CDS	1140				hypothetical protein
JGCGDLPH_00027	CDS	732			COG0217	putative transcriptional regulatory protein
JGCGDLPH_00028	CDS	906	folD		COG0190	Bifunctional protein FolD protein
JGCGDLPH_00029	CDS	636				hypothetical protein
JGCGDLPH_00030	CDS	1050				hypothetical protein
JGCGDLPH_00031	CDS	432				hypothetical protein
JGCGDLPH_00032	CDS	636				hypothetical protein
JGCGDLPH_00033	CDS	981				hypothetical protein
JGCGDLPH_00034	CDS	1464				hypothetical protein
JGCGDLPH_00035	CDS	453	smpB		COG0691	SsrA-binding protein
JGCGDLPH_00036	CDS	537				hypothetical protein
JGCGDLPH_00037	CDS	1881	gyrA_1	5.99.1.3		DNA gyrase subunit A
JGCGDLPH_00038	CDS	1800	gyrB_1	5.99.1.3	COG0187	DNA gyrase subunit B
JGCGDLPH_00039	CDS	738				hypothetical protein
JGCGDLPH_00040	CDS	1524				hypothetical protein
JGCGDLPH_00041	CDS	1503				hypothetical protein
JGCGDLPH_00042	CDS	858	cheR1_1	2.1.1.80		Chemotaxis protein methyltransferase 1
JGCGDLPH_00043	CDS	672	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
JGCGDLPH_00044	CDS	822				hypothetical protein
JGCGDLPH_00045	CDS	402				hypothetical protein
JGCGDLPH_00046	CDS	2451	smc			Chromosome partition protein Smc
JGCGDLPH_00047	CDS	546	rnhB	3.1.26.4	COG0164	Ribonuclease HII
JGCGDLPH_00048	CDS	372				hypothetical protein
JGCGDLPH_00049	tRNA	72				tRNA-Gly(tcc)
JGCGDLPH_00050	tmRNA	359	ssrA			transfer-messenger RNA, SsrA
JGCGDLPH_00051	CDS	702				hypothetical protein
JGCGDLPH_00052	CDS	657	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
JGCGDLPH_00053	CDS	672	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
JGCGDLPH_00054	CDS	363				hypothetical protein
JGCGDLPH_00055	CDS	762	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
JGCGDLPH_00056	CDS	1182	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
JGCGDLPH_00057	CDS	1008	gap	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase
JGCGDLPH_00058	CDS	1971	lapB			Lipopolysaccharide assembly protein B
JGCGDLPH_00059	CDS	780	corC		COG4535	Magnesium and cobalt efflux protein CorC
JGCGDLPH_00060	CDS	459	ybeY	3.1.-.-		Endoribonuclease YbeY
JGCGDLPH_00061	CDS	354	trxA			Thioredoxin
JGCGDLPH_00062	CDS	717				hypothetical protein
JGCGDLPH_00063	CDS	360				hypothetical protein
JGCGDLPH_00064	CDS	591				hypothetical protein
JGCGDLPH_00065	CDS	948	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
JGCGDLPH_00066	CDS	498	def1	3.5.1.88	COG0242	Peptide deformylase 1
JGCGDLPH_00067	CDS	687				hypothetical protein
JGCGDLPH_00068	CDS	1779				hypothetical protein
JGCGDLPH_00069	CDS	909	yigL_1	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YigL
JGCGDLPH_00070	CDS	1239		3.4.11.-		Aminopeptidase 2
JGCGDLPH_00071	CDS	462				hypothetical protein
JGCGDLPH_00072	CDS	1473				hypothetical protein
JGCGDLPH_00073	CDS	2319	rsxC			Electron transport complex subunit RsxC
JGCGDLPH_00074	CDS	561				hypothetical protein
JGCGDLPH_00075	CDS	654	prfB		COG1186	Peptide chain release factor RF2
JGCGDLPH_00076	CDS	1410				hypothetical protein
JGCGDLPH_00077	CDS	171				hypothetical protein
JGCGDLPH_00078	CDS	603	ftsY		COG0552	Signal recognition particle receptor FtsY
JGCGDLPH_00079	CDS	1029				hypothetical protein
JGCGDLPH_00080	CDS	1254				hypothetical protein
JGCGDLPH_00081	CDS	681	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
JGCGDLPH_00082	CDS	1254				hypothetical protein
JGCGDLPH_00083	CDS	1296				hypothetical protein
JGCGDLPH_00084	CDS	351				hypothetical protein
JGCGDLPH_00085	CDS	1269	csd	2.8.1.7		putative cysteine desulfurase
JGCGDLPH_00086	CDS	429				hypothetical protein
JGCGDLPH_00087	CDS	1536	comM		COG0606	Competence protein ComM
