locus_tag	ftype	length_bp	gene	EC_number	COG	product
FFBLHJNO_00001	CDS	534				hypothetical protein
FFBLHJNO_00002	CDS	1038	nagZ_1	3.2.1.52	COG1472	Beta-hexosaminidase
FFBLHJNO_00003	CDS	1455				hypothetical protein
FFBLHJNO_00004	CDS	1794				hypothetical protein
FFBLHJNO_00005	CDS	1056	trpS2	6.1.1.2	COG0180	Tryptophan--tRNA ligase 2
FFBLHJNO_00006	CDS	1074	yhhT		COG0628	Putative transport protein YhhT
FFBLHJNO_00007	CDS	858				hypothetical protein
FFBLHJNO_00008	CDS	771	dacA_1	2.7.7.85	COG1624	Diadenylate cyclase
FFBLHJNO_00009	CDS	996				hypothetical protein
FFBLHJNO_00010	CDS	378	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
FFBLHJNO_00011	CDS	849				hypothetical protein
FFBLHJNO_00012	CDS	738	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
FFBLHJNO_00013	CDS	579				hypothetical protein
FFBLHJNO_00014	CDS	1977	priA	3.6.4.-		primosomal protein N'
FFBLHJNO_00015	CDS	621	udk	2.7.1.48	COG0572	Uridine kinase
FFBLHJNO_00016	CDS	387				hypothetical protein
FFBLHJNO_00017	CDS	969				hypothetical protein
FFBLHJNO_00018	CDS	981				hypothetical protein
FFBLHJNO_00019	CDS	495				hypothetical protein
FFBLHJNO_00020	CDS	1662	pfp	2.7.1.90		Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
FFBLHJNO_00021	CDS	1038	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
FFBLHJNO_00022	CDS	1044	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
FFBLHJNO_00023	CDS	591	ruvA	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvA
FFBLHJNO_00024	CDS	480	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
FFBLHJNO_00025	CDS	732	yebC		COG0217	putative transcriptional regulatory protein YebC
FFBLHJNO_00026	CDS	906	folD		COG0190	Bifunctional protein FolD protein
FFBLHJNO_00027	CDS	636				hypothetical protein
FFBLHJNO_00028	CDS	1032				hypothetical protein
FFBLHJNO_00029	CDS	432				hypothetical protein
FFBLHJNO_00030	CDS	636				hypothetical protein
FFBLHJNO_00031	CDS	981				hypothetical protein
FFBLHJNO_00032	CDS	1470				hypothetical protein
FFBLHJNO_00033	CDS	450	smpB		COG0691	SsrA-binding protein
FFBLHJNO_00034	CDS	525				hypothetical protein
FFBLHJNO_00035	CDS	1887	gyrA_1	5.99.1.3		DNA gyrase subunit A
FFBLHJNO_00036	CDS	1797	gyrB_1	5.99.1.3	COG0187	DNA gyrase subunit B
FFBLHJNO_00037	CDS	774	plsC	2.3.1.51	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
FFBLHJNO_00038	CDS	1452				hypothetical protein
FFBLHJNO_00039	CDS	1509				hypothetical protein
FFBLHJNO_00040	CDS	840	cheR	2.1.1.80		Chemotaxis protein methyltransferase
FFBLHJNO_00041	CDS	672	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
FFBLHJNO_00042	CDS	1026				hypothetical protein
FFBLHJNO_00043	CDS	387				hypothetical protein
FFBLHJNO_00044	CDS	2454	smc_1			Chromosome partition protein Smc
FFBLHJNO_00045	CDS	546	rnhB	3.1.26.4	COG0164	Ribonuclease HII
FFBLHJNO_00046	CDS	363				hypothetical protein
FFBLHJNO_00047	tRNA	73				tRNA-Gly(tcc)
FFBLHJNO_00048	tmRNA	363	ssrA			transfer-messenger RNA, SsrA
FFBLHJNO_00049	CDS	687				hypothetical protein
FFBLHJNO_00050	CDS	681				hypothetical protein
FFBLHJNO_00051	CDS	642	rlmB_1	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
FFBLHJNO_00052	CDS	672	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
FFBLHJNO_00053	CDS	312				hypothetical protein
FFBLHJNO_00054	CDS	765	tpiA	5.3.1.1		Triosephosphate isomerase
FFBLHJNO_00055	CDS	1179	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
FFBLHJNO_00056	CDS	1008	gap	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase
FFBLHJNO_00057	CDS	1986				hypothetical protein
FFBLHJNO_00058	CDS	777				hypothetical protein
FFBLHJNO_00059	CDS	447	ybeY	3.1.-.-		Endoribonuclease YbeY
FFBLHJNO_00060	CDS	354	trxA		COG0526	Thioredoxin
FFBLHJNO_00061	CDS	723				hypothetical protein
FFBLHJNO_00062	CDS	1041				hypothetical protein
FFBLHJNO_00063	CDS	930	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
FFBLHJNO_00064	CDS	498	def1	3.5.1.88		Peptide deformylase 1
FFBLHJNO_00065	CDS	690				hypothetical protein
FFBLHJNO_00066	CDS	1779				hypothetical protein
FFBLHJNO_00067	CDS	891	yigL_1	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YigL
FFBLHJNO_00068	CDS	1239		3.4.11.-		Aminopeptidase 2
FFBLHJNO_00069	CDS	468				hypothetical protein
FFBLHJNO_00070	CDS	1470				hypothetical protein
FFBLHJNO_00071	CDS	2304	rsxC			Electron transport complex subunit RsxC
FFBLHJNO_00072	CDS	570				hypothetical protein
FFBLHJNO_00073	CDS	1062	prfB			Peptide chain release factor 2
FFBLHJNO_00074	CDS	1407				hypothetical protein
FFBLHJNO_00075	CDS	846	ftsY		COG0552	Signal recognition particle receptor FtsY
