locus_tag	ftype	length_bp	gene	EC_number	COG	product
KJIACEAL_00001	CDS	567				hypothetical protein
KJIACEAL_00002	CDS	1041	nagZ_1	3.2.1.52	COG1472	Beta-hexosaminidase
KJIACEAL_00003	CDS	1455				hypothetical protein
KJIACEAL_00004	CDS	1788				hypothetical protein
KJIACEAL_00005	CDS	1059	trpS2	6.1.1.2	COG0180	Tryptophan--tRNA ligase 2
KJIACEAL_00006	CDS	1080	yhhT		COG0628	Putative transport protein YhhT
KJIACEAL_00007	CDS	858				hypothetical protein
KJIACEAL_00008	CDS	771	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
KJIACEAL_00009	CDS	966				hypothetical protein
KJIACEAL_00010	CDS	378	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
KJIACEAL_00011	CDS	849				hypothetical protein
KJIACEAL_00012	CDS	738	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
KJIACEAL_00013	CDS	579				hypothetical protein
KJIACEAL_00014	CDS	1977	priA	3.6.4.-		primosomal protein N'
KJIACEAL_00015	CDS	621	udk	2.7.1.48	COG0572	Uridine kinase
KJIACEAL_00016	CDS	390				hypothetical protein
KJIACEAL_00017	CDS	966				hypothetical protein
KJIACEAL_00018	CDS	981				hypothetical protein
KJIACEAL_00019	CDS	507				hypothetical protein
KJIACEAL_00020	CDS	1665	pfp	2.7.1.90		Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
KJIACEAL_00021	CDS	1038	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
KJIACEAL_00022	CDS	1059	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
KJIACEAL_00023	CDS	591	ruvA	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvA
KJIACEAL_00024	CDS	228				hypothetical protein
KJIACEAL_00025	CDS	732	yebC		COG0217	putative transcriptional regulatory protein YebC
KJIACEAL_00026	CDS	906	folD		COG0190	Bifunctional protein FolD protein
KJIACEAL_00027	CDS	636				hypothetical protein
KJIACEAL_00028	CDS	1032				hypothetical protein
KJIACEAL_00029	CDS	432				hypothetical protein
KJIACEAL_00030	CDS	636				hypothetical protein
KJIACEAL_00031	CDS	981				hypothetical protein
KJIACEAL_00032	CDS	1470				hypothetical protein
KJIACEAL_00033	CDS	450	smpB		COG0691	SsrA-binding protein
KJIACEAL_00034	CDS	522				hypothetical protein
KJIACEAL_00035	CDS	1884	gyrA_1	5.99.1.3		DNA gyrase subunit A
KJIACEAL_00036	CDS	1797	gyrB_1	5.99.1.3	COG0187	DNA gyrase subunit B
KJIACEAL_00037	CDS	774	plsC	2.3.1.51	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
KJIACEAL_00038	CDS	1452				hypothetical protein
KJIACEAL_00039	CDS	1509				hypothetical protein
KJIACEAL_00040	CDS	837	cheR	2.1.1.80		Chemotaxis protein methyltransferase
KJIACEAL_00041	CDS	672	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
KJIACEAL_00042	CDS	1026				hypothetical protein
KJIACEAL_00043	CDS	387				hypothetical protein
KJIACEAL_00044	CDS	2454	smc_1			Chromosome partition protein Smc
KJIACEAL_00045	CDS	546	rnhB	3.1.26.4	COG0164	Ribonuclease HII
KJIACEAL_00046	CDS	363				hypothetical protein
KJIACEAL_00047	tRNA	73				tRNA-Gly(tcc)
KJIACEAL_00048	tmRNA	361	ssrA			transfer-messenger RNA, SsrA
KJIACEAL_00049	CDS	687				hypothetical protein
KJIACEAL_00050	CDS	684				hypothetical protein
KJIACEAL_00051	CDS	684	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
KJIACEAL_00052	CDS	672	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
KJIACEAL_00053	CDS	354				hypothetical protein
KJIACEAL_00054	CDS	765	tpiA	5.3.1.1		Triosephosphate isomerase
KJIACEAL_00055	CDS	1179	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
KJIACEAL_00056	CDS	1008	gap	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase
KJIACEAL_00057	CDS	1986				hypothetical protein
KJIACEAL_00058	CDS	777	corC		COG4535	Magnesium and cobalt efflux protein CorC
KJIACEAL_00059	CDS	447	ybeY	3.1.-.-		Endoribonuclease YbeY
KJIACEAL_00060	CDS	354	trxA		COG0526	Thioredoxin
KJIACEAL_00061	CDS	717				hypothetical protein
KJIACEAL_00062	CDS	1059				hypothetical protein
KJIACEAL_00063	CDS	930	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
KJIACEAL_00064	CDS	498	def1	3.5.1.88	COG0242	Peptide deformylase 1
KJIACEAL_00065	CDS	690				hypothetical protein
KJIACEAL_00066	CDS	1779				hypothetical protein
KJIACEAL_00067	CDS	891	yigL	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YigL
KJIACEAL_00068	CDS	1239		3.4.11.-		Aminopeptidase 2
KJIACEAL_00069	CDS	468				hypothetical protein
KJIACEAL_00070	CDS	1470				hypothetical protein
KJIACEAL_00071	CDS	2316	rsxC			Electron transport complex subunit RsxC
KJIACEAL_00072	CDS	570				hypothetical protein
KJIACEAL_00073	CDS	1038	prfB			Peptide chain release factor 2
KJIACEAL_00074	CDS	1410				hypothetical protein
KJIACEAL_00075	CDS	846	ftsY		COG0552	Signal recognition particle receptor FtsY
KJIACEAL_00076	CDS	1053				hypothetical protein
KJIACEAL_00077	CDS	1233	lolE		COG4591	Lipoprotein-releasing system transmembrane protein LolE
KJIACEAL_00078	CDS	681	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
KJIACEAL_00079	CDS	1248				hypothetical protein
KJIACEAL_00080	CDS	1284				hypothetical protein
KJIACEAL_00081	CDS	318				hypothetical protein
KJIACEAL_00082	CDS	1269	csd	2.8.1.7		putative cysteine desulfurase
KJIACEAL_00083	CDS	405				hypothetical protein
KJIACEAL_00084	CDS	1530	comM		COG0606	Competence protein ComM
KJIACEAL_00085	CDS	951	ldhP	1.1.1.27		L-lactate dehydrogenase P
KJIACEAL_00086	CDS	1668	lepA_1	3.6.5.-		Elongation factor 4
KJIACEAL_00087	CDS	1005				hypothetical protein
KJIACEAL_00088	CDS	435				hypothetical protein
KJIACEAL_00089	CDS	1830				hypothetical protein
KJIACEAL_00090	CDS	597	atpD			V-type ATP synthase subunit D
KJIACEAL_00091	CDS	1302	ntpB			V-type sodium ATPase subunit B
KJIACEAL_00092	CDS	1740	ntpA	3.6.3.15		V-type sodium ATPase catalytic subunit A
KJIACEAL_00093	CDS	546				hypothetical protein
KJIACEAL_00094	CDS	597	atpE			V-type proton ATPase subunit E
KJIACEAL_00095	CDS	387				hypothetical protein
KJIACEAL_00096	CDS	2337	mutS2	3.1.-.-	COG1193	Endonuclease MutS2
