locus_tag	ftype	length_bp	gene	EC_number	COG	product
HNCCNNJP_00001	CDS	564				hypothetical protein
HNCCNNJP_00002	CDS	1029	nagZ_1	3.2.1.52		Beta-hexosaminidase
HNCCNNJP_00003	CDS	1323				hypothetical protein
HNCCNNJP_00004	CDS	1794				hypothetical protein
HNCCNNJP_00005	CDS	1056	trpS2	6.1.1.2	COG0180	Tryptophan--tRNA ligase 2
HNCCNNJP_00006	CDS	1089	tqsA		COG0628	AI-2 transport protein TqsA
HNCCNNJP_00007	CDS	858				hypothetical protein
HNCCNNJP_00008	CDS	771	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
HNCCNNJP_00009	CDS	1005				hypothetical protein
HNCCNNJP_00010	CDS	375				hypothetical protein
HNCCNNJP_00011	CDS	840				hypothetical protein
HNCCNNJP_00012	CDS	741	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
HNCCNNJP_00013	CDS	600				hypothetical protein
HNCCNNJP_00014	CDS	1983	priA	3.6.4.-		primosomal protein N'
HNCCNNJP_00015	CDS	621	udk	2.7.1.48	COG0572	Uridine kinase
HNCCNNJP_00016	CDS	378				hypothetical protein
HNCCNNJP_00017	CDS	810				hypothetical protein
HNCCNNJP_00018	CDS	981				hypothetical protein
HNCCNNJP_00019	CDS	513				hypothetical protein
HNCCNNJP_00020	CDS	1668	pfp	2.7.1.90		Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
HNCCNNJP_00021	CDS	432	queA_1	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
HNCCNNJP_00022	CDS	639	queA_2	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
HNCCNNJP_00023	CDS	1044	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
HNCCNNJP_00024	CDS	594	ruvA	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvA
HNCCNNJP_00025	CDS	1140				hypothetical protein
HNCCNNJP_00026	CDS	732			COG0217	putative transcriptional regulatory protein
HNCCNNJP_00027	CDS	927	folD			Bifunctional protein FolD protein
HNCCNNJP_00028	CDS	639				hypothetical protein
HNCCNNJP_00029	CDS	1050				hypothetical protein
HNCCNNJP_00030	CDS	432				hypothetical protein
HNCCNNJP_00031	CDS	636				hypothetical protein
HNCCNNJP_00032	CDS	981				hypothetical protein
HNCCNNJP_00033	CDS	1473				hypothetical protein
HNCCNNJP_00034	CDS	453	smpB		COG0691	SsrA-binding protein
HNCCNNJP_00035	CDS	540				hypothetical protein
HNCCNNJP_00036	CDS	1881	gyrA_1	5.99.1.3		DNA gyrase subunit A
HNCCNNJP_00037	CDS	1800	gyrB_1	5.99.1.3	COG0187	DNA gyrase subunit B
HNCCNNJP_00038	CDS	753				hypothetical protein
HNCCNNJP_00039	CDS	1518				hypothetical protein
HNCCNNJP_00040	CDS	1503				hypothetical protein
HNCCNNJP_00041	CDS	852	cheR	2.1.1.80		Chemotaxis protein methyltransferase
HNCCNNJP_00042	CDS	672	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
HNCCNNJP_00043	CDS	1041				hypothetical protein
HNCCNNJP_00044	CDS	402				hypothetical protein
HNCCNNJP_00045	CDS	2448	smc			Chromosome partition protein Smc
HNCCNNJP_00046	CDS	546	rnhB	3.1.26.4	COG0164	Ribonuclease HII
HNCCNNJP_00047	CDS	369				hypothetical protein
HNCCNNJP_00048	tRNA	72				tRNA-Gly(tcc)
HNCCNNJP_00049	tmRNA	359	ssrA			transfer-messenger RNA, SsrA
HNCCNNJP_00050	CDS	675				hypothetical protein
HNCCNNJP_00051	CDS	702				hypothetical protein
HNCCNNJP_00052	CDS	657	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
HNCCNNJP_00053	CDS	672	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
